Code,DiaLi,GDCD,HoaHoc,KHTN,KHXH,LichSu,ListGroup,NgoaiNgu,NguVan,Result,SinhHoc,Toan,VatLi
28000001,,,5.00,6.08,,,[],8.80,5.75,,4.25,8.80,9.00
28000002,4.75,7.50,,,5.83,5.25,[],7.00,8.00,,,7.80,
28000003,,,7.50,7.33,,,[],9.40,7.50,,6.00,8.60,8.50
28000004,,,9.50,8.17,,,[],8.80,6.75,,5.75,8.60,9.25
28000005,6.25,,,,,7.75,[],,7.50,,,4.60,
28000006,,,7.25,6.92,,,[],9.20,7.75,,4.50,8.20,9.00
28000007,5.00,5.00,,,4.75,4.25,[],6.40,8.00,,,5.20,
28000008,7.00,,,,,6.75,[],,8.00,,,4.20,
28000009,6.00,,,,,7.75,[],,6.00,,,5.20,
28000010,6.00,7.75,,,6.83,6.75,[],6.80,9.00,,,8.00,
28000011,,,4.50,5.67,,,[],9.40,7.50,,5.00,7.80,7.50
28000012,,,3.00,4.58,,,[],8.60,7.00,,3.25,8.20,7.50
28000013,,,6.75,4.83,,,[],6.40,8.00,,4.00,7.20,3.75
28000014,6.00,,,,,6.50,[],,8.00,,,5.40,
28000015,7.25,7.50,,,7.42,7.50,[],8.80,9.00,,,8.40,
28000016,5.50,7.75,,,6.58,6.50,[],9.00,8.25,,,6.60,
28000017,5.50,7.00,,,5.33,3.50,[],4.20,4.50,,,3.80,
28000018,,,8.00,7.08,,,[],5.80,8.50,,4.25,9.00,9.00
28000019,,,4.00,4.50,,,[],6.20,6.00,,2.75,7.20,6.75
28000020,6.00,6.00,,,5.17,3.50,[],4.80,8.00,,,7.00,
28000021,5.50,7.75,,,6.50,6.25,[],9.20,9.00,,,7.60,
28000022,6.50,,,,,4.75,[],,5.50,,,2.80,
28000023,5.25,5.75,,,4.83,3.50,[],3.80,8.50,,,6.80,
28000024,5.25,7.50,,,6.17,5.75,[],5.40,8.75,,,7.60,
28000025,5.75,8.00,,,5.92,4.00,[],4.80,9.00,,,5.60,
28000026,,,3.25,3.25,,,[],4.20,7.25,,2.75,7.60,3.75
28000027,4.00,7.75,,,5.83,5.75,[],7.20,8.75,,,3.00,
28000028,,,4.75,5.00,,,[],5.80,7.00,,5.25,8.20,5.00
28000029,8.50,,,,,8.50,[],,6.50,,,7.20,
28000030,,,4.75,6.75,,,[],9.40,9.00,,6.50,9.20,9.00
28000031,,,8.25,6.67,,,[],3.20,4.00,,7.50,8.80,4.25
28000032,7.25,8.00,,,7.75,8.00,[],9.20,9.25,,,7.00,
28000033,,,3.00,4.33,,,[],8.00,6.50,,2.75,8.00,7.25
28000034,6.50,7.00,,,6.50,6.00,[],8.20,8.75,,,8.00,
28000035,3.75,7.00,,,4.67,3.25,[],6.80,8.50,,,7.60,
28000036,,,2.75,4.67,,,[],8.00,8.00,,3.50,8.40,7.75
28000037,6.00,6.25,,,5.67,4.75,[],3.00,8.25,,,7.40,
28000038,8.50,8.75,,,8.67,8.75,[],5.20,9.00,,,6.00,
28000039,6.75,8.00,,,7.25,7.00,[],8.00,9.00,,,8.20,
28000040,6.75,7.25,,,6.17,4.50,[],6.60,8.00,,,6.80,
28000041,,,9.00,7.50,,,[],6.20,7.50,,4.50,8.60,9.00
28000042,,,8.50,7.00,,,[],7.60,8.00,,8.00,8.20,4.50
